Material_ID,Formula,Band_Gap,Energy_per_Atom,Formation_Energy_per_Atom
mp-560203,SiO2,5.7073,-8.350245480277778,-3.243165466944444
mp-1195265,SiO2,5.7794,-8.362259529930556,-3.255179516597223
mp-600024,SiO2,5.882899999999999,-8.355860635416667,-3.248780622083333
mp-600014,SiO2,5.977,-8.362535524444446,-3.255455511111112
mp-600060,SiO2,5.8577,-8.362455925347222,-3.255375912013888
mp-560809,SiO2,5.6711,-8.362973916527778,-3.255893903194445
mp-560920,SiO2,5.7859,-8.362658053958333,-3.255578040625
mp-560941,SiO2,5.771100000000001,-8.363017455625,-3.255937442291666
mp-560826,SiO2,5.4244,-8.362074403055557,-3.254994389722223
mp-560527,SiO2,5.3948,-8.36088269,-3.253802676666667
mp-560973,SiO2,5.6019,-8.345107707222223,-3.2380276938888892
mp-600004,SiO2,5.4299,-8.362613595000001,-3.255533581666667
mp-600063,SiO2,5.9181,-8.362476327083336,-3.2553963137500013
mp-600098,SiO2,5.7534,-8.361966985520832,-3.254886972187499
mp-600052,SiO2,5.4986999999999995,-8.364062115666666,-3.256982102333334
mp-600027,SiO2,5.7489,-8.362768515,-3.255688501666667
mp-600032,SiO2,5.756600000000001,-8.358354574444443,-3.25127456111111
mp-600111,SiO2,5.540699999999999,-8.355205011458333,-3.248124998125
mp-600029,SiO2,5.485200000000001,-8.363127041944445,-3.256047028611111
mp-600039,SiO2,5.5527,-8.339734787777779,-3.232654774444445
mp-639724,SiO2,5.682499999999999,-8.359146723124999,-3.252066709791666
mp-1250551,SiO2,5.6892,-8.361739060535715,-3.254659047202381
mp-600041,SiO2,5.4636,-8.358816836875,-3.251736823541667
mp-600051,SiO2,5.6808,-8.358238359583332,-3.251158346249999
mp-559313,SiO2,5.5709,-8.362040455416667,-3.254960442083334
mp-600045,SiO2,5.4221,-8.35740204125,-3.250322027916667
mp-600065,SiO2,5.3161,-8.354777313472223,-3.2476973001388902
mp-667377,SiO2,5.6195,-8.36018411970238,-3.253104106369047
mp-667376,SiO2,5.6257,-8.362184535773808,-3.255104522440475
mp-560998,SiO2,5.832599999999999,-8.361607236851851,-3.254527223518518
mp-639558,SiO2,5.645099999999999,-8.357623774642857,-3.250543761309524
mp-600068,SiO2,5.666399999999999,-8.340780658,-3.233700644666667
mp-600018,SiO2,5.5607,-8.362686944444444,-3.255606931111112
mp-653763,SiO2,5.5172,-8.356947138690476,-3.249867125357142
mp-556088,SiO2,5.6778,-8.272803080416667,-3.165723067083333
mp-559860,SiO2,4.8159,-8.213882145416667,-3.1068021320833332
mp-556591,SiO2,5.873200000000001,-8.359230249444444,-3.252150236111111
mp-553881,SiO2,3.602,-8.014043859166666,-2.9069638458333333
mp-555411,SiO2,1.6065,-7.822763056666666,-2.715683043333333
mp-555544,SiO2,4.325299999999999,-8.19716387375,-3.090083860416667
mp-555483,SiO2,4.721699999999999,-8.3663644475,-3.259284434166667
mp-15078,SiO2,5.8634,-8.36233094962963,-3.255250936296297
mp-667368,SiO2,5.7667,-8.362172831770833,-3.2550928184375
mp-1071820,SiO2,4.716,-7.937459681666667,-2.8303796683333333
mp-600084,SiO2,5.5358,-8.36036110375,-3.253281090416666
mp-7905,SiO2,4.7646999999999995,-7.957387528333332,-2.850307514999999
mp-555394,SiO2,0.0,-3.590962157083333,1.516117856249999
mp-557933,SiO2,5.5687999999999995,-8.366482701111112,-3.259402687777778
mp-600031,SiO2,5.6567,-8.362959330499999,-3.255879317166667
